category,term,description,number_of_genes,number_of_genes_in_background,p_value,fdr,preferredNames
COMPARTMENTS,GOCC:0070013,Intracellular organelle lumen,45,2902,9.14e-09,1.94e-06,"MAPK1,CSNK2A1,MAPK14,NR3C1,CTSD,FLT3,SLC6A4,MAPK3,CDK2,EGFR,PPARG,FABP1,CDC25A,F2,PLG,ADAM17,PRKDC,BACE1,PGR,NOS2,HSP90AA1,DYRK1A,ESR2,CTSB,SREBF2,TOP1,PTGS2,ABL1,ALOX5,AR,F10,POLA1,RPS6KA3,AKR1C1,JAK2,MAPK8,PPARA,IL6,CHEK1,ESR1,TOP2A,GC,EPHX2,PTPN11,CES2"
COMPARTMENTS,GOCC:0016020,Membrane,67,5715,3e-08,4.93e-06,"CYP51A1,MAPK1,STS,ATP12A,SLC6A2,CYP27B1,CTSD,FLT3,CHRM3,SLC6A4,KCNH2,MAPK3,KDR,SLC6A3,EGFR,SIGMAR1,ADRA2A,CA2,HMGCR,NPC1L1,ACE,ACHE,GLUL,PLG,ADAM17,PTPN2,MET,BACE1,CACNA1H,PDE2A,HSP90AA1,PTGES,PDE4D,NR3C2,SREBF2,PTGS1,DRD2,HSD11B1,PTGS2,CYP2C19,PTPN1,ABL1,PLAU,TACR2,ALOX5,GABBR1,PIK3CD,CA9,JAK2,DRD3,G6PD,CYP19A1,HCRTR1,IL6,ADRA2C,TBXAS1,FGFR1,OPRM1,CHRM2,ESR1,PIK3CG,GPBAR1,NTRK1,TYK2,HTR2A,ABCB1,ADORA2A"
COMPARTMENTS,GOCC:0012505,Endomembrane system,46,3156,3.93e-08,5.65e-06,"CYP51A1,MAPK1,MAPK14,CTSD,FLT3,CYP2C9,SLC6A4,MAPK3,KDR,BCHE,CDK2,SLC6A3,EGFR,SIGMAR1,HMGCR,ACE,F2,PLG,ADAM17,PTPN2,BACE1,HSP90AA1,CTSB,NR3C2,SREBF2,PTGS1,HSD11B1,PTGS2,CYP17A1,CYP2C19,PTPN1,ABL1,PLAU,ALOX5,HSD17B3,F10,POLA1,JAK2,CYP19A1,IL6,TBXAS1,OPRM1,ESR1,NTRK1,CYP2D6,CES2"
COMPARTMENTS,GOCC:0005783,Endoplasmic reticulum,25,1095,4.47e-08,6.05e-06,"CYP51A1,MAPK1,FLT3,CYP2C9,MAPK3,KDR,SIGMAR1,HMGCR,ADAM17,PTPN2,BACE1,NR3C2,SREBF2,PTGS1,HSD11B1,PTGS2,CYP17A1,CYP2C19,PTPN1,HSD17B3,CYP19A1,IL6,TBXAS1,CYP2D6,CES2"
COMPARTMENTS,GOCC:0005887,Integral component of plasma membrane,19,792,1.12e-06,0.00014,"ATP12A,KCNH2,KDR,EGFR,ADRA2A,NPC1L1,ACE,ADAM17,BACE1,CACNA1H,DRD2,GABBR1,JAK2,HCRTR1,IL6,CHRM2,NTRK1,TYK2,ADORA2A"
COMPARTMENTS,GOCC:0005654,Nucleoplasm,23,1146,1.52e-06,0.00017,"MAPK1,CSNK2A1,NR3C1,SLC6A4,MAPK3,CDK2,PPARG,CDC25A,PRKDC,PGR,HSP90AA1,DYRK1A,ESR2,TOP1,ABL1,AR,POLA1,JAK2,MAPK8,PPARA,CHEK1,ESR1,TOP2A"
COMPARTMENTS,GOCC:0043230,Extracellular organelle,15,524,2.11e-06,0.00023,"CTSD,FABP4,ACE,GLUL,F2,PLG,HSP90AA1,CTSB,PTGS1,PLAU,SHBG,G6PD,GC,TYK2,ABCB1"
COMPARTMENTS,GOCC:0098797,Plasma membrane protein complex,17,682,2.64e-06,0.00028,"CYP51A1,ATP12A,KCNH2,SLC6A3,EGFR,HMGCR,BACE1,CACNA1H,PDE4D,SREBF2,ABL1,GABBR1,JAK2,IL6,TYK2,HTR2A,ABCB1"
COMPARTMENTS,GOCC:0005576,Extracellular region,32,2079,3.09e-06,0.00031,"MAPK1,MAPK14,CTSD,FABP4,SLC6A4,KDR,BCHE,EGFR,CA2,HMGCR,ACE,FABP1,ACHE,GLUL,F2,PLG,MET,HSP90AA1,SERPINA6,CTSB,AKR1B10,PTGS1,PLAU,ALOX5,F10,SHBG,G6PD,IL6,FGFR1,GC,TYK2,ABCB1"
COMPARTMENTS,GOCC:0005615,Extracellular space,21,1027,3.49e-06,0.00032,"CTSD,FABP4,BCHE,EGFR,HMGCR,ACE,FABP1,GLUL,F2,PLG,HSP90AA1,CTSB,PTGS1,PLAU,ALOX5,SHBG,G6PD,IL6,GC,TYK2,ABCB1"
COMPARTMENTS,GOCC:0005829,Cytosol,40,3054,6.81e-06,0.0006,"MAPK1,ATP12A,MAPK14,NR3C1,CDC25B,FABP4,MAPK3,CDK2,CA2,PPARG,ACE,FABP1,CDC25A,GLUL,F2,ADAM17,PDE2A,HSP90AA1,PDE4D,PDE3A,PTPN1,ABL1,ALOX5,PIK3CD,POLA1,RPS6KA3,AKR1C1,JAK2,G6PD,MAPK8,IL6,CHEK1,FGFR1,ESR1,PIK3CG,EPHX2,CA1,NR1H3,PTPN11,PREP"
COMPARTMENTS,GOCC:0005634,Nucleus,54,4787,7.1e-06,0.00061,"MAPK1,CSNK2A1,MAPK14,NR3C1,CDC25B,RORA,SLC6A4,MAPK3,KDR,POLB,CDK2,EGFR,SIGMAR1,PPARG,ACHE,CDC25A,GLUL,F2,PPARD,PTPN2,PRKDC,PGR,RORC,NOS2,PDE2A,HSP90AA1,NR1I2,DYRK1A,ESR2,NR3C2,SREBF2,TOP1,PTGS2,NR1I3,ABL1,ALOX5,AR,POLA1,RPS6KA3,AKR1C3,AKR1C1,JAK2,MAPK8,PPARA,CHEK1,FGFR1,ESR1,TOP2A,TYK2,NR1H4,NR1H3,ABCB1,PTPN11,NR1H2"
COMPARTMENTS,GOCC:0031981,Nuclear lumen,29,1850,7.18e-06,0.00061,"MAPK1,CSNK2A1,NR3C1,SLC6A4,MAPK3,CDK2,PPARG,CDC25A,F2,PRKDC,PGR,HSP90AA1,DYRK1A,ESR2,SREBF2,TOP1,ABL1,ALOX5,AR,POLA1,RPS6KA3,AKR1C1,JAK2,MAPK8,PPARA,CHEK1,ESR1,TOP2A,PTPN11"
COMPARTMENTS,GOCC:0031982,Vesicle,31,2125,1.35e-05,0.0011,"MAPK1,MAPK14,CTSD,FLT3,FABP4,MAPK3,KDR,BCHE,CDK2,SLC6A3,EGFR,ACE,GLUL,F2,PLG,BACE1,HSP90AA1,CTSB,PTGS1,PTPN1,PLAU,ALOX5,SHBG,AKR1C2,JAK2,G6PD,OPRM1,CHRM2,GC,NTRK1,ABCB1"
COMPARTMENTS,GOCC:0065010,Extracellular membrane-bounded organelle,13,473,1.6e-05,0.0012,"CTSD,FABP4,ACE,GLUL,F2,PLG,HSP90AA1,CTSB,PTGS1,PLAU,SHBG,GC,ABCB1"
COMPARTMENTS,GOCC:0005788,Endoplasmic reticulum lumen,8,172,2.23e-05,0.0017,"MAPK1,FLT3,MAPK3,ADAM17,BACE1,PTGS2,IL6,CES2"
COMPARTMENTS,GOCC:1903561,Extracellular vesicle,13,500,2.82e-05,0.002,"CTSD,FABP4,ACE,GLUL,F2,PLG,HSP90AA1,CTSB,PTGS1,PLAU,SHBG,GC,ABCB1"
COMPARTMENTS,GOCC:0045121,Membrane raft,8,181,3.17e-05,0.0022,"MAPK1,CTSD,SLC6A4,MAPK3,KDR,SLC6A3,EGFR,ADAM17"
COMPARTMENTS,GOCC:0032991,Protein-containing complex,55,5325,7.85e-05,0.0052,"CYP51A1,CSNK2A1,ATP12A,NR3C1,SLC6A4,KCNH2,KDR,POLB,CDK2,SLC6A3,EGFR,ADRA2A,PPARG,HMGCR,ACE,ACHE,GLUL,F2,PLG,PRKDC,BACE1,CACNA1H,HSP90AA1,NR1I2,PDE4D,CTSB,NR3C2,SREBF2,PTGS2,PTPN1,ABL1,PLAU,ALOX5,AR,GABBR1,PIK3CD,POLA1,SHBG,AKR1C1,JAK2,IL6,CHEK1,FGFR1,OPRM1,ESR1,TOP2A,PIK3CG,GPBAR1,NTRK1,TYK2,HTR2A,NR1H4,NR1H3,ABCB1,PTPN11"
COMPARTMENTS,GOCC:0005768,Endosome,14,671,0.00014,0.0089,"MAPK1,CTSD,FLT3,MAPK3,KDR,CDK2,EGFR,ACE,BACE1,CTSB,PTPN1,JAK2,OPRM1,NTRK1"
COMPARTMENTS,GOCC:0098796,Membrane protein complex,21,1353,0.00019,0.0116,"CYP51A1,ATP12A,KCNH2,SLC6A3,EGFR,HMGCR,BACE1,CACNA1H,PDE4D,SREBF2,ABL1,ALOX5,GABBR1,PIK3CD,JAK2,IL6,OPRM1,PIK3CG,TYK2,HTR2A,ABCB1"
COMPARTMENTS,GOCC:0042734,Presynaptic membrane,4,41,0.0002,0.0121,"SLC6A2,SLC6A3,PDE2A,DRD2"
COMPARTMENTS,GOCC:1904813,ficolin-1-rich granule lumen,6,124,0.0002,0.0121,"MAPK1,MAPK14,CTSD,HSP90AA1,CTSB,ALOX5"
COMPARTMENTS,GOCC:0005577,Fibrinogen complex,3,20,0.00042,0.0238,"F2,PLG,IL6"
COMPARTMENTS,GOCC:0045202,Synapse,11,493,0.00043,0.0238,"SLC6A2,SLC6A4,SLC6A3,SIGMAR1,ACHE,PDE2A,DRD2,ABL1,MAPK8,OPRM1,CHRM2"
COMPARTMENTS,GOCC:0030054,Cell junction,17,1053,0.00053,0.0282,"MAPK1,SLC6A2,SLC6A4,MAPK3,KDR,SLC6A3,EGFR,SIGMAR1,ACHE,PDE2A,DRD2,ABL1,PLAU,JAK2,MAPK8,OPRM1,CHRM2"
COMPARTMENTS,GOCC:0009986,Cell surface,10,438,0.00066,0.0347,"KCNH2,SLC6A3,EGFR,ACE,PLG,ADAM17,MET,BACE1,PLAU,ABCB1"
COMPARTMENTS,GOCC:0031410,Cytoplasmic vesicle,23,1738,0.00085,0.0432,"MAPK1,MAPK14,CTSD,FLT3,MAPK3,KDR,BCHE,CDK2,SLC6A3,EGFR,ACE,PLG,BACE1,HSP90AA1,CTSB,PTPN1,PLAU,ALOX5,AKR1C2,JAK2,OPRM1,CHRM2,NTRK1"
COMPARTMENTS,GOCC:0097443,Sorting endosome,2,5,0.00085,0.0432,"KDR,PTPN1"
COMPARTMENTS,GOCC:0098691,Dopaminergic synapse,2,5,0.00085,0.0432,"SLC6A3,DRD2"
COMPARTMENTS,GOCC:1904096,Protein tyrosine phosphatase complex,2,5,0.00085,0.0432,"PTPN1,PTPN11"
COMPARTMENTS,GOCC:1990503,Dendritic lamellar body,2,5,0.00085,0.0432,"BCHE,SLC6A3"
Process,GO:0042221,Response to chemical,98,4010,7.289999999999999e-42,1.14e-37,"MAPK1,SLC6A2,HSD17B1,CYP27B1,MAPK14,NR3C1,FLT3,CHRM3,FABP4,CYP2C9,RORA,SLC6A4,KCNH2,MAPK3,KDR,BCHE,POLB,CDK2,SLC6A3,SRD5A1,EGFR,SIGMAR1,ADRA2A,CA2,PPARG,NPC1L1,ACE,CYP11B1,FABP1,ACHE,GLUL,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,MET,BACE1,PGR,RORC,NOS2,CACNA1H,PDE2A,HSP90AA1,NR1I2,PTGES,ESR2,PDE4D,CTSB,NR3C2,PDE3A,AKR1B10,SREBF2,TOP1,PTGS1,DRD2,PTGS2,CYP2C19,PTPN1,ABL1,PLAU,ALOX5,AR,GABBR1,PIK3CD,CA9,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,G6PD,MAPK8,CYP19A1,PPARA,IL6,TBXAS1,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,PIK3CG,EPHX2,GPBAR1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,SRD5A2,NR1H3,ABCB1,ADORA2A,PTPN11,CYP2D6,CES2"
Process,GO:1901700,Response to oxygen-containing compound,67,1547,4.45e-39,3.49e-35,"MAPK1,CYP27B1,MAPK14,NR3C1,CHRM3,RORA,SLC6A4,MAPK3,BCHE,POLB,CDK2,SLC6A3,SRD5A1,EGFR,SIGMAR1,CA2,PPARG,ACE,CYP11B1,FABP1,ACHE,GLUL,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,BACE1,RORC,NOS2,PDE2A,HSP90AA1,ESR2,PDE4D,PDE3A,AKR1B10,DRD2,PTGS2,PTPN1,ABL1,AR,GABBR1,CA9,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,G6PD,MAPK8,CYP19A1,PPARA,IL6,TBXAS1,OPRM1,CHRM2,ESR1,PIK3CG,GPBAR1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,SRD5A2,NR1H3"
Process,GO:0065008,Regulation of biological quality,89,3654,6.63e-36,3.46e-32,"MAPK1,ATP12A,SLC6A2,HSD17B1,CYP27B1,MAPK14,NR3C1,FLT3,CHRM3,FABP4,CYP2C9,RORA,SLC6A4,KCNH2,MAPK3,KDR,BCHE,POLB,SLC6A3,SRD5A1,ADRA2A,CA2,PPARG,NPC1L1,ACE,CYP11B1,ACHE,UGT2B7,GLUL,F2,PLG,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,MET,BACE1,NOS2,CACNA1H,PDE2A,HSP90AA1,PTGES,PDE4D,CTSB,PDE3A,AKR1B10,SREBF2,PTGS1,DRD2,PTGS2,CYP17A1,ABL1,PLAU,TACR2,ALOX5,AR,HSD17B3,F10,GABBR1,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,G6PD,MAPK8,CYP19A1,HCRTR1,PPARA,IL6,ADRA2C,TBXAS1,OPRM1,CHRM2,ESR1,PIK3CG,EPHX2,NTRK1,JAK3,HTR2A,NR1H4,SRD5A2,NR1H3,ABCB1,ADORA2A,PTPN11,CYP2D6,NR1H2"
Process,GO:0010033,Response to organic substance,78,2692,6.699999999999999e-35,2.6300000000000004e-31,"MAPK1,CYP27B1,MAPK14,NR3C1,FLT3,CHRM3,FABP4,RORA,SLC6A4,MAPK3,KDR,BCHE,POLB,SLC6A3,SRD5A1,EGFR,ADRA2A,CA2,PPARG,ACE,CYP11B1,ACHE,GLUL,ADAM17,PPARD,PTPN2,PRKDC,HSD11B2,BACE1,PGR,RORC,NOS2,CACNA1H,PDE2A,HSP90AA1,ESR2,PDE4D,CTSB,NR3C2,PDE3A,AKR1B10,SREBF2,DRD2,PTGS2,PTPN1,ABL1,AR,GABBR1,PIK3CD,CA9,RPS6KA3,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,G6PD,MAPK8,CYP19A1,PPARA,IL6,TBXAS1,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,PIK3CG,GPBAR1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,SRD5A2,NR1H3,ADORA2A,PTPN11"
Process,GO:0070887,Cellular response to chemical stimulus,76,2609,7.12e-34,2.23e-30,"MAPK1,HSD17B1,MAPK14,NR3C1,FLT3,CHRM3,FABP4,CYP2C9,RORA,SLC6A4,KCNH2,MAPK3,KDR,BCHE,CDK2,SRD5A1,EGFR,SIGMAR1,ADRA2A,CA2,PPARG,ACE,CYP11B1,FABP1,ACHE,PPARD,PTPN2,PRKDC,BACE1,PGR,RORC,NOS2,CACNA1H,PDE2A,NR1I2,PTGES,ESR2,PDE4D,CTSB,NR3C2,PDE3A,AKR1B10,PTGS1,DRD2,PTGS2,CYP2C19,PTPN1,ABL1,ALOX5,AR,PIK3CD,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,G6PD,MAPK8,PPARA,IL6,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,PIK3CG,GPBAR1,NTRK1,TYK2,JAK3,HTR2A,NR1H4,NR1H3,PTPN11,CYP2D6,CES2"
Process,GO:0009719,Response to endogenous stimulus,58,1363,1.36e-32,3.5600000000000003e-29,"MAPK1,CYP27B1,MAPK14,NR3C1,FLT3,CHRM3,SLC6A4,MAPK3,BCHE,SRD5A1,EGFR,ADRA2A,CA2,PPARG,ACE,CYP11B1,PPARD,PTPN2,PRKDC,HSD11B2,BACE1,PGR,NOS2,CACNA1H,PDE2A,HSP90AA1,ESR2,PDE4D,CTSB,NR3C2,PDE3A,SREBF2,DRD2,PTGS2,PTPN1,ABL1,AR,AKR1C3,AKR1C2,AKR1C1,JAK2,DRD3,PPARA,IL6,CHEK1,FGFR1,OPRM1,CHRM2,ESR1,PIK3CG,NTRK1,TYK2,JAK3,HTR2A,NR1H4,SRD5A2,NR1H3,PTPN11"
Process,GO:0014070,Response to organic cyclic compound,47,861,2.7099999999999998e-30,6.0700000000000006e-27,"MAPK1,CYP27B1,NR3C1,FLT3,CHRM3,RORA,SLC6A4,MAPK3,BCHE,SLC6A3,SRD5A1,EGFR,PPARG,ACE,PPARD,HSD11B2,PGR,RORC,PDE2A,HSP90AA1,ESR2,PDE4D,NR3C2,PDE3A,DRD2,PTGS2,ABL1,AR,CA9,AKR1C3,JAK2,DRD3,G6PD,CYP19A1,PPARA,IL6,CHEK1,OPRM1,CHRM2,ESR1,PIK3CG,GPBAR1,HTR2A,NR1H4,SRD5A2,NR1H3,ADORA2A"
